candidate_type,temperature,natural_current_frame_accuracy,eligible,retention,hidden_switch_accuracy,window_frames,hazard,prior_concentration,alarm_threshold,min_run_frames,max_run_length,natural_accuracy,natural_accuracy_loss,natural_false_alarms_per_1000,post_switch_accuracy,mean_detection_delay,selected
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,0.1,0.4,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,0.1,0.4,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,0.1,0.6,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,0.1,0.6,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,0.1,0.6,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,0.1,0.8,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,0.1,0.8,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,0.1,0.8,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,1.0,0.2,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,1.0,0.2,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,1.0,0.2,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,1.0,0.4,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,1.0,0.4,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,1.0,0.4,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,1.0,0.6,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,1.0,0.6,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,1.0,0.6,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,1.0,0.8,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,1.0,0.8,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,1.0,0.8,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,5.0,0.2,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,5.0,0.2,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,5.0,0.2,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,5.0,0.4,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,5.0,0.4,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,5.0,0.4,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,5.0,0.6,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,5.0,0.6,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,5.0,0.6,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,5.0,0.8,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,5.0,0.8,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0078125,5.0,0.8,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,0.1,0.2,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,0.1,0.2,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,0.1,0.2,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,0.1,0.4,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,0.1,0.4,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,0.1,0.4,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,0.1,0.6,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,0.1,0.6,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,0.1,0.6,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,0.1,0.8,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,0.1,0.8,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,0.1,0.8,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,1.0,0.2,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,1.0,0.2,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,1.0,0.2,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,1.0,0.4,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,1.0,0.4,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,1.0,0.4,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,1.0,0.6,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,1.0,0.6,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,1.0,0.6,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,1.0,0.8,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,1.0,0.8,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,1.0,0.8,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,5.0,0.2,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,5.0,0.2,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,5.0,0.2,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,5.0,0.4,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,5.0,0.4,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,5.0,0.4,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,5.0,0.6,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,5.0,0.6,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,5.0,0.6,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,5.0,0.8,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,5.0,0.8,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.015625,5.0,0.8,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,0.1,0.2,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,0.1,0.2,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,0.1,0.2,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,0.1,0.4,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,0.1,0.4,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,0.1,0.4,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,0.1,0.6,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,0.1,0.6,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,0.1,0.6,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,0.1,0.8,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,0.1,0.8,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,0.1,0.8,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,1.0,0.2,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,1.0,0.2,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,1.0,0.2,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,1.0,0.4,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,1.0,0.4,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,1.0,0.4,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,1.0,0.6,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,1.0,0.6,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,1.0,0.6,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,1.0,0.8,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,1.0,0.8,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,1.0,0.8,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,5.0,0.2,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,5.0,0.2,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,5.0,0.2,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,5.0,0.4,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,5.0,0.4,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,5.0,0.4,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,5.0,0.6,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,5.0,0.6,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,5.0,0.6,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,5.0,0.8,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,5.0,0.8,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.03125,5.0,0.8,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,0.1,0.2,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,0.1,0.2,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,0.1,0.2,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,0.1,0.4,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,0.1,0.4,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,0.1,0.4,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,0.1,0.6,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,0.1,0.6,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,0.1,0.6,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,0.1,0.8,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,0.1,0.8,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,0.1,0.8,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,1.0,0.2,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,1.0,0.2,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,1.0,0.2,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,1.0,0.4,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,1.0,0.4,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,1.0,0.4,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,1.0,0.6,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,1.0,0.6,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,1.0,0.6,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,1.0,0.8,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,1.0,0.8,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,1.0,0.8,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,5.0,0.2,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,5.0,0.2,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,5.0,0.2,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,5.0,0.4,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,5.0,0.4,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,5.0,0.4,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,5.0,0.6,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,5.0,0.6,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,5.0,0.6,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,5.0,0.8,2.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,5.0,0.8,4.0,128.0,0.983125,0.0,0.0,0.19775,,False
bocpd_change_reset,,,True,,0.39479166666666665,,0.0625,5.0,0.8,8.0,128.0,0.983125,0.0,0.0,0.19775,,False
