seed,selection_family,candidate,selection_nll,data_split,fit_tape_digest,uses_true_parameters,selected,candidate_q,candidate_r,candidate_q_rate,candidate_r_rate,candidate_decay,candidate_prior_mass,candidate_q_fraction,candidate_switch
41000,selected_fixed_jump,q=0.0025:r=0.01,1.1701282269989661,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.0025,0.01,,,,,,
41000,selected_fixed_jump,q=0.0025:r=0.02,0.6508364777190537,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.0025,0.02,,,,,,
41000,selected_fixed_jump,q=0.0025:r=0.02875,0.5008135795766251,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.0025,0.02875,,,,,,
41000,selected_fixed_jump,q=0.0025:r=0.055,0.38995166912962687,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.0025,0.055,,,,,,
41000,selected_fixed_jump,q=0.01:r=0.01,0.5524982433700886,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.01,0.01,,,,,,
41000,selected_fixed_jump,q=0.01:r=0.02,0.28850081200822086,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.01,0.02,,,,,,
41000,selected_fixed_jump,q=0.01:r=0.02875,0.21806887963155083,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.01,0.02875,,,,,,
41000,selected_fixed_jump,q=0.01:r=0.055,0.1992178375514463,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.01,0.055,,,,,,
41000,selected_fixed_jump,q=0.02:r=0.01,0.32033588223267107,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.02,0.01,,,,,,
41000,selected_fixed_jump,q=0.02:r=0.02,0.18273160718062859,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.02,0.02,,,,,,
41000,selected_fixed_jump,q=0.02:r=0.02875,0.15112523816283197,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.02,0.02875,,,,,,
41000,selected_fixed_jump,q=0.02:r=0.055,0.17107150771388413,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.02,0.055,,,,,,
41000,selected_fixed_jump,q=0.04:r=0.01,0.19027025949079443,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.04,0.01,,,,,,
41000,selected_fixed_jump,q=0.04:r=0.02,0.14711012777593763,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.04,0.02,,,,,,
41000,selected_fixed_jump,q=0.04:r=0.02875,0.14556223850346556,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,True,0.04,0.02875,,,,,,
41000,selected_fixed_jump,q=0.04:r=0.055,0.19239540850237702,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.04,0.055,,,,,,
41000,selected_fixed_jump,q=0.08:r=0.01,0.18395652239181098,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.08,0.01,,,,,,
41000,selected_fixed_jump,q=0.08:r=0.02,0.19137633492152956,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.08,0.02,,,,,,
41000,selected_fixed_jump,q=0.08:r=0.02875,0.20688130381610653,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.08,0.02875,,,,,,
41000,selected_fixed_jump,q=0.08:r=0.055,0.2662664609774457,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,0.08,0.055,,,,,,
41000,current_online_em,beta_q=0.02:beta_r=0.02,0.13177408266752755,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.02,0.02,,,,
41000,current_online_em,beta_q=0.02:beta_r=0.1,0.13194836096467605,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.02,0.1,,,,
41000,current_online_em,beta_q=0.02:beta_r=0.2,0.1426363531566743,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.02,0.2,,,,
41000,current_online_em,beta_q=0.02:beta_r=0.5,0.16635631556825797,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.02,0.5,,,,
41000,current_online_em,beta_q=0.1:beta_r=0.02,0.12317060556176666,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,True,,,0.1,0.02,,,,
41000,current_online_em,beta_q=0.1:beta_r=0.1,0.1232500663734864,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.1,0.1,,,,
41000,current_online_em,beta_q=0.1:beta_r=0.2,0.13390623356333597,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.1,0.2,,,,
41000,current_online_em,beta_q=0.1:beta_r=0.5,0.15930277067658283,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.1,0.5,,,,
41000,current_online_em,beta_q=0.2:beta_r=0.02,0.13603166452066934,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.2,0.02,,,,
41000,current_online_em,beta_q=0.2:beta_r=0.1,0.12819826339769427,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.2,0.1,,,,
41000,current_online_em,beta_q=0.2:beta_r=0.2,0.13168003308249435,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.2,0.2,,,,
41000,current_online_em,beta_q=0.2:beta_r=0.5,0.15767122323950877,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.2,0.5,,,,
41000,current_online_em,beta_q=0.5:beta_r=0.02,0.1910070402979331,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.5,0.02,,,,
41000,current_online_em,beta_q=0.5:beta_r=0.1,0.15812968661453933,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.5,0.1,,,,
41000,current_online_em,beta_q=0.5:beta_r=0.2,0.14706949950888387,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.5,0.2,,,,
41000,current_online_em,beta_q=0.5:beta_r=0.5,0.17126976617083312,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,0.5,0.5,,,,
41000,h_plus_total_variance,decay=0.95:prior_mass=1.0:q_fraction=0.041666666666666664,0.3418616858938316,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,1.0,0.041666666666666664,
41000,h_plus_total_variance,decay=0.95:prior_mass=1.0:q_fraction=0.08333333333333333,0.22703543621496203,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,1.0,0.08333333333333333,
41000,h_plus_total_variance,decay=0.95:prior_mass=1.0:q_fraction=0.25,0.1373766560411015,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,1.0,0.25,
41000,h_plus_total_variance,decay=0.95:prior_mass=1.0:q_fraction=0.5,0.13816694657570538,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,1.0,0.5,
41000,h_plus_total_variance,decay=0.95:prior_mass=1.0:q_fraction=0.6666666666666666,0.1523619694151887,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,1.0,0.6666666666666666,
41000,h_plus_total_variance,decay=0.95:prior_mass=1.0:q_fraction=0.9,0.1798452755711486,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,1.0,0.9,
41000,h_plus_total_variance,decay=0.95:prior_mass=4.0:q_fraction=0.041666666666666664,0.34046311813828833,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,4.0,0.041666666666666664,
41000,h_plus_total_variance,decay=0.95:prior_mass=4.0:q_fraction=0.08333333333333333,0.22597474705839807,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,4.0,0.08333333333333333,
41000,h_plus_total_variance,decay=0.95:prior_mass=4.0:q_fraction=0.25,0.13669327982221746,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,4.0,0.25,
41000,h_plus_total_variance,decay=0.95:prior_mass=4.0:q_fraction=0.5,0.13759822203384833,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,4.0,0.5,
41000,h_plus_total_variance,decay=0.95:prior_mass=4.0:q_fraction=0.6666666666666666,0.15184018561079843,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,4.0,0.6666666666666666,
41000,h_plus_total_variance,decay=0.95:prior_mass=4.0:q_fraction=0.9,0.17937442920730035,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,4.0,0.9,
41000,h_plus_total_variance,decay=0.95:prior_mass=16.0:q_fraction=0.041666666666666664,0.3402719397686863,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,16.0,0.041666666666666664,
41000,h_plus_total_variance,decay=0.95:prior_mass=16.0:q_fraction=0.08333333333333333,0.22574449772877828,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,16.0,0.08333333333333333,
41000,h_plus_total_variance,decay=0.95:prior_mass=16.0:q_fraction=0.25,0.13641358969041353,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,16.0,0.25,
41000,h_plus_total_variance,decay=0.95:prior_mass=16.0:q_fraction=0.5,0.13731698628902522,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,16.0,0.5,
41000,h_plus_total_variance,decay=0.95:prior_mass=16.0:q_fraction=0.6666666666666666,0.15157154656791239,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,16.0,0.6666666666666666,
41000,h_plus_total_variance,decay=0.95:prior_mass=16.0:q_fraction=0.9,0.1791367651065262,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.95,16.0,0.9,
41000,h_plus_total_variance,decay=0.98:prior_mass=1.0:q_fraction=0.041666666666666664,0.3358351310868306,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,1.0,0.041666666666666664,
41000,h_plus_total_variance,decay=0.98:prior_mass=1.0:q_fraction=0.08333333333333333,0.22130053930714427,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,1.0,0.08333333333333333,
41000,h_plus_total_variance,decay=0.98:prior_mass=1.0:q_fraction=0.25,0.1332605947645748,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,1.0,0.25,
41000,h_plus_total_variance,decay=0.98:prior_mass=1.0:q_fraction=0.5,0.13536590655721725,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,1.0,0.5,
41000,h_plus_total_variance,decay=0.98:prior_mass=1.0:q_fraction=0.6666666666666666,0.15002079902175733,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,1.0,0.6666666666666666,
41000,h_plus_total_variance,decay=0.98:prior_mass=1.0:q_fraction=0.9,0.1780285633878121,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,1.0,0.9,
41000,h_plus_total_variance,decay=0.98:prior_mass=4.0:q_fraction=0.041666666666666664,0.3345293000640248,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,4.0,0.041666666666666664,
41000,h_plus_total_variance,decay=0.98:prior_mass=4.0:q_fraction=0.08333333333333333,0.22031433751887228,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,4.0,0.08333333333333333,
41000,h_plus_total_variance,decay=0.98:prior_mass=4.0:q_fraction=0.25,0.13261118894975532,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,4.0,0.25,
41000,h_plus_total_variance,decay=0.98:prior_mass=4.0:q_fraction=0.5,0.13481233956313823,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,4.0,0.5,
41000,h_plus_total_variance,decay=0.98:prior_mass=4.0:q_fraction=0.6666666666666666,0.1495105573110591,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,4.0,0.6666666666666666,
41000,h_plus_total_variance,decay=0.98:prior_mass=4.0:q_fraction=0.9,0.17757085103873688,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,4.0,0.9,
41000,h_plus_total_variance,decay=0.98:prior_mass=16.0:q_fraction=0.041666666666666664,0.3346659778010387,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,16.0,0.041666666666666664,
41000,h_plus_total_variance,decay=0.98:prior_mass=16.0:q_fraction=0.08333333333333333,0.2203207315651603,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,16.0,0.08333333333333333,
41000,h_plus_total_variance,decay=0.98:prior_mass=16.0:q_fraction=0.25,0.13243560336506105,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,True,,,,,0.98,16.0,0.25,
41000,h_plus_total_variance,decay=0.98:prior_mass=16.0:q_fraction=0.5,0.13458126145040655,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,16.0,0.5,
41000,h_plus_total_variance,decay=0.98:prior_mass=16.0:q_fraction=0.6666666666666666,0.14928369522916574,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,16.0,0.6666666666666666,
41000,h_plus_total_variance,decay=0.98:prior_mass=16.0:q_fraction=0.9,0.17738411584410504,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.98,16.0,0.9,
41000,h_plus_total_variance,decay=0.99:prior_mass=1.0:q_fraction=0.041666666666666664,0.33976569764096054,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,1.0,0.041666666666666664,
41000,h_plus_total_variance,decay=0.99:prior_mass=1.0:q_fraction=0.08333333333333333,0.22610300887913676,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,1.0,0.08333333333333333,
41000,h_plus_total_variance,decay=0.99:prior_mass=1.0:q_fraction=0.25,0.13750060334640646,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,1.0,0.25,
41000,h_plus_total_variance,decay=0.99:prior_mass=1.0:q_fraction=0.5,0.1396362404360737,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,1.0,0.5,
41000,h_plus_total_variance,decay=0.99:prior_mass=1.0:q_fraction=0.6666666666666666,0.1542999189069027,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,1.0,0.6666666666666666,
41000,h_plus_total_variance,decay=0.99:prior_mass=1.0:q_fraction=0.9,0.18231409796891762,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,1.0,0.9,
41000,h_plus_total_variance,decay=0.99:prior_mass=4.0:q_fraction=0.041666666666666664,0.338498868226535,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,4.0,0.041666666666666664,
41000,h_plus_total_variance,decay=0.99:prior_mass=4.0:q_fraction=0.08333333333333333,0.22515406836448704,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,4.0,0.08333333333333333,
41000,h_plus_total_variance,decay=0.99:prior_mass=4.0:q_fraction=0.25,0.13686602209368937,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,4.0,0.25,
41000,h_plus_total_variance,decay=0.99:prior_mass=4.0:q_fraction=0.5,0.1390839398463467,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,4.0,0.5,
41000,h_plus_total_variance,decay=0.99:prior_mass=4.0:q_fraction=0.6666666666666666,0.1537889250034092,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,4.0,0.6666666666666666,
41000,h_plus_total_variance,decay=0.99:prior_mass=4.0:q_fraction=0.9,0.18185817937580215,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,4.0,0.9,
41000,h_plus_total_variance,decay=0.99:prior_mass=16.0:q_fraction=0.041666666666666664,0.33888671939504905,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,16.0,0.041666666666666664,
41000,h_plus_total_variance,decay=0.99:prior_mass=16.0:q_fraction=0.08333333333333333,0.22534229567717867,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,16.0,0.08333333333333333,
41000,h_plus_total_variance,decay=0.99:prior_mass=16.0:q_fraction=0.25,0.13674602430088584,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,16.0,0.25,
41000,h_plus_total_variance,decay=0.99:prior_mass=16.0:q_fraction=0.5,0.13886063043659277,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,16.0,0.5,
41000,h_plus_total_variance,decay=0.99:prior_mass=16.0:q_fraction=0.6666666666666666,0.15356451019132517,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,16.0,0.6666666666666666,
41000,h_plus_total_variance,decay=0.99:prior_mass=16.0:q_fraction=0.9,0.18168503533295957,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.99,16.0,0.9,
41000,h_plus_total_variance,decay=0.995:prior_mass=1.0:q_fraction=0.041666666666666664,0.34299039157093425,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,1.0,0.041666666666666664,
41000,h_plus_total_variance,decay=0.995:prior_mass=1.0:q_fraction=0.08333333333333333,0.23112851138055657,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,1.0,0.08333333333333333,
41000,h_plus_total_variance,decay=0.995:prior_mass=1.0:q_fraction=0.25,0.14255751017244883,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,1.0,0.25,
41000,h_plus_total_variance,decay=0.995:prior_mass=1.0:q_fraction=0.5,0.14470171497540998,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,1.0,0.5,
41000,h_plus_total_variance,decay=0.995:prior_mass=1.0:q_fraction=0.6666666666666666,0.15938743600990507,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,1.0,0.6666666666666666,
41000,h_plus_total_variance,decay=0.995:prior_mass=1.0:q_fraction=0.9,0.1873965264576435,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,1.0,0.9,
41000,h_plus_total_variance,decay=0.995:prior_mass=4.0:q_fraction=0.041666666666666664,0.3417432914522983,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,4.0,0.041666666666666664,
41000,h_plus_total_variance,decay=0.995:prior_mass=4.0:q_fraction=0.08333333333333333,0.23020585423118461,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,4.0,0.08333333333333333,
41000,h_plus_total_variance,decay=0.995:prior_mass=4.0:q_fraction=0.25,0.14193098504247814,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,4.0,0.25,
41000,h_plus_total_variance,decay=0.995:prior_mass=4.0:q_fraction=0.5,0.14414292766184,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,4.0,0.5,
41000,h_plus_total_variance,decay=0.995:prior_mass=4.0:q_fraction=0.6666666666666666,0.1588679583065865,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,4.0,0.6666666666666666,
41000,h_plus_total_variance,decay=0.995:prior_mass=4.0:q_fraction=0.9,0.18693483416863943,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,4.0,0.9,
41000,h_plus_total_variance,decay=0.995:prior_mass=16.0:q_fraction=0.041666666666666664,0.3423649356949864,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,16.0,0.041666666666666664,
41000,h_plus_total_variance,decay=0.995:prior_mass=16.0:q_fraction=0.08333333333333333,0.23056115789888662,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,16.0,0.08333333333333333,
41000,h_plus_total_variance,decay=0.995:prior_mass=16.0:q_fraction=0.25,0.14183929541087142,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,16.0,0.25,
41000,h_plus_total_variance,decay=0.995:prior_mass=16.0:q_fraction=0.5,0.14389742534398092,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,16.0,0.5,
41000,h_plus_total_variance,decay=0.995:prior_mass=16.0:q_fraction=0.6666666666666666,0.15861622925050223,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,16.0,0.6666666666666666,
41000,h_plus_total_variance,decay=0.995:prior_mass=16.0:q_fraction=0.9,0.18674618604194465,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,0.995,16.0,0.9,
41000,h_plus_total_variance,decay=1.0:prior_mass=1.0:q_fraction=0.041666666666666664,0.3455366172821793,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,1.0,1.0,0.041666666666666664,
41000,h_plus_total_variance,decay=1.0:prior_mass=1.0:q_fraction=0.08333333333333333,0.23516648561656348,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,1.0,1.0,0.08333333333333333,
41000,h_plus_total_variance,decay=1.0:prior_mass=1.0:q_fraction=0.25,0.14748840309277733,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,1.0,1.0,0.25,
41000,h_plus_total_variance,decay=1.0:prior_mass=1.0:q_fraction=0.5,0.14988059253276037,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,1.0,1.0,0.5,
41000,h_plus_total_variance,decay=1.0:prior_mass=1.0:q_fraction=0.6666666666666666,0.16472664316069763,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,1.0,1.0,0.6666666666666666,
41000,h_plus_total_variance,decay=1.0:prior_mass=1.0:q_fraction=0.9,0.19301245516092208,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,1.0,1.0,0.9,
41000,h_plus_total_variance,decay=1.0:prior_mass=4.0:q_fraction=0.041666666666666664,0.34421428149431577,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,1.0,4.0,0.041666666666666664,
41000,h_plus_total_variance,decay=1.0:prior_mass=4.0:q_fraction=0.08333333333333333,0.23426039139656055,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,1.0,4.0,0.08333333333333333,
41000,h_plus_total_variance,decay=1.0:prior_mass=4.0:q_fraction=0.25,0.1468785326685081,fit,6f5a610f58dc3cbd03b097d8999fd0f55df1b3ad07d5ede0a9d30d95a863c166,False,False,,,,,1.0,4.0,0.25,
