seed,method,sequence_id,block_id,block_within_sequence,regime,pair_id,q_dominant,transition_eligible,n_steps,mean_nll,latent_mse,late_nll,mean_q_estimate,mean_r_estimate,true_q,true_r,q_bias,r_bias,q_log_error,r_log_error,q_absolute_log_error,r_absolute_log_error,true_increment_variance,true_gamma0,true_gamma1,mean_implied_gamma0_estimate,mean_implied_gamma1_estimate,implied_gamma0_bias,implied_gamma1_bias,direct_covariance_diagnostic,mean_direct_gamma0_estimate,mean_direct_gamma1_estimate,direct_gamma0_absolute_error,direct_gamma1_absolute_error,q_clipping_fraction,r_clipping_fraction,any_clipping_fraction,parameter_saturation_fraction,invalid_rows,parameter_update_l1,parameter_update_l2,parameter_update_squared_sum,parameter_update_count,generator_hazard,filter_hazard_floor,test_tape_digest,transition_nll_1,transition_nll_4,transition_nll_8,transition_nll_16
41000,selected_fixed_jump,0,0,0,m12_r_dominant,m12,False,False,256,0.2034783053706492,0.030410352703401596,-0.06658584932327369,0.04,0.02875,0.01,0.055,0.03,-0.02625,1.3862943611198904,-0.6486954179891113,1.3862943611198904,0.6486954179891113,0.12,0.12,-0.055,0.09749999999999999,-0.02875,-0.022500000000000006,0.02625,not_applicable,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0001,d68628adbdaff7a61d143a75c2d9da95d472b2e1fe5d01aac2e7b80a55798be1,,,,
41000,current_online_em,0,0,0,m12_r_dominant,m12,False,False,256,0.22736171817545792,0.03161445968989944,-0.060513939234789926,0.0406873964633208,0.023859897092079644,0.01,0.055,0.030687396463320797,-0.031140102907920356,1.4033332822912166,-0.8351340815611197,1.4033332822912166,0.8351340815611197,0.12,0.12,-0.055,0.0884071906474801,-0.023859897092079644,-0.0315928093525199,0.031140102907920356,not_applicable,,,,,0.0,0.0,0.0,0.0,0,0.534223313396227,0.04431382617718528,0.0019637151904617917,255,0.0,0.0001,d68628adbdaff7a61d143a75c2d9da95d472b2e1fe5d01aac2e7b80a55798be1,,,,
41000,h_plus_total_variance,0,0,0,m12_r_dominant,m12,False,False,256,0.19116198741288892,0.025226018891148123,-0.04415710960357736,0.026264230018108486,0.03939634502716272,0.01,0.055,0.016264230018108485,-0.015603654972837278,0.9656228450906115,-0.3336601390396492,0.9656228450906115,0.3336601390396492,0.12,0.12,-0.055,0.10505692007243395,-0.03939634502716272,-0.01494307992756605,0.015603654972837278,lag0_only,0.10522146907671277,,0.014778530923287223,,0.0,0.0,0.0,0.0,0,0.3739279499307992,0.02544012451311808,0.0006471999352429515,254,0.0,0.0001,d68628adbdaff7a61d143a75c2d9da95d472b2e1fe5d01aac2e7b80a55798be1,,,,
41000,autocov_factorized,0,0,0,m12_r_dominant,m12,False,False,256,0.2010029544540422,0.021833359245192162,-0.06684303530388616,0.013247143748456671,0.044804956390159134,0.01,0.055,0.003247143748456671,-0.010195043609840866,0.2811968700462488,-0.20501441822207989,0.2811968700462488,0.20501441822207989,0.12,0.12,-0.055,0.10285705652877494,-0.044804956390159134,-0.017142943471225053,0.010195043609840866,lag0_and_lag1,0.10301218271103395,-0.04489997890679567,0.016987817288966048,0.010100021093204327,0.02734375,0.0,0.02734375,0.02734375,0,0.7361154896164102,0.061499201868504924,0.0037821518304631194,254,0.0,0.0001,d68628adbdaff7a61d143a75c2d9da95d472b2e1fe5d01aac2e7b80a55798be1,,,,
41000,generator_supported_seen_regime_imm,0,0,0,m12_r_dominant,m12,False,False,256,0.1626652220864631,0.02136455143118474,-0.051754688332663855,0.014923041697081257,0.0501355956339138,0.01,0.055,0.004923041697081257,-0.004864404366086199,0.40032134810009534,-0.09260193772650194,0.40032134810009534,0.09260193772650194,0.12,0.12,-0.055,0.11519423296490885,-0.0501355956339138,-0.004805767035091141,0.004864404366086199,not_applicable,,,,,0.0,0.0,0.0,0.0,0,0.48298065428515013,0.04695086747216792,0.002204383956389076,255,0.0,0.0001,d68628adbdaff7a61d143a75c2d9da95d472b2e1fe5d01aac2e7b80a55798be1,,,,
41000,dynamic_qr_oracle,0,0,0,m12_r_dominant,m12,False,False,256,0.1543913754909897,0.02033404914336095,-0.04895158034695149,0.01,0.05500000000000002,0.01,0.055,0.0,2.0816681711721685e-17,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16,0.12,0.12,-0.055,0.12000000000000005,-0.05500000000000002,5.551115123125783e-17,-2.0816681711721685e-17,not_applicable,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0001,d68628adbdaff7a61d143a75c2d9da95d472b2e1fe5d01aac2e7b80a55798be1,,,,
41000,selected_fixed_jump,0,1,1,m12_q_dominant,m12,True,True,256,0.29368444954624273,0.017115775153428887,0.021719595721929493,0.04,0.02875,0.08,0.02,-0.04,0.00875,-0.693147180559945,0.36290549368936853,0.693147180559945,0.36290549368936853,0.12,0.12,-0.02,0.09749999999999999,-0.02875,-0.022500000000000006,-0.00875,not_applicable,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0001,d68628adbdaff7a61d143a75c2d9da95d472b2e1fe5d01aac2e7b80a55798be1,0.38405367529317064,0.634456726301049,0.3170189449478235,0.49694160332109033
41000,current_online_em,0,1,1,m12_q_dominant,m12,True,True,256,0.29828884045590476,0.015728572700442405,0.025378144700402193,0.05151427895801086,0.02794421671259884,0.08,0.02,-0.02848572104198914,0.007944216712598838,-0.4401676041134084,0.3344779891666332,0.4401676041134084,0.3344779891666332,0.12,0.12,-0.02,0.10740271238320853,-0.02794421671259884,-0.012597287616791464,-0.007944216712598838,not_applicable,,,,,0.0,0.0,0.0,0.0,0,0.7757165325397719,0.06846510175407612,0.004687470158195997,256,0.0,0.0001,d68628adbdaff7a61d143a75c2d9da95d472b2e1fe5d01aac2e7b80a55798be1,0.42060747255517866,0.6929556381394598,0.33346170362259636,0.5150913004923168
41000,h_plus_total_variance,0,1,1,m12_q_dominant,m12,True,True,256,0.3360403200113312,0.025103250153019646,0.028237534494116083,0.02638209735848005,0.039573146037720074,0.08,0.02,-0.05361790264151995,0.019573146037720073,-1.1093409849166096,0.6824184843114454,1.1093409849166096,0.6824184843114454,0.12,0.12,-0.02,0.1055283894339202,-0.039573146037720074,-0.01447161056607979,-0.019573146037720073,lag0_only,0.10546856747507946,,0.014531432524920534,,0.0,0.0,0.0,0.0,0,0.3442204224510821,0.021914304925319802,0.0004802367603598957,256,0.0,0.0001,d68628adbdaff7a61d143a75c2d9da95d472b2e1fe5d01aac2e7b80a55798be1,0.29118683409350316,0.7897163627214536,0.47585570649742115,0.5856147226227155
41000,autocov_factorized,0,1,1,m12_q_dominant,m12,True,True,256,0.30189038482649855,0.018569957741057828,0.04105415885669346,0.05032604558612306,0.028109166823414126,0.08,0.02,-0.029673954413876942,0.008109166823414126,-0.4635038866897787,0.34036347106086584,0.4635038866897787,0.34036347106086584,0.12,0.12,-0.02,0.10654437923295132,-0.028109166823414126,-0.013455620767048676,-0.008109166823414126,lag0_and_lag1,0.10652344220889978,-0.02800720383016081,0.013476557791100213,0.008007203830160809,0.0,0.0,0.0,0.0,0,0.33309887192374366,0.026838576660062417,0.0007203091971380471,256,0.0,0.0001,d68628adbdaff7a61d143a75c2d9da95d472b2e1fe5d01aac2e7b80a55798be1,0.2166438056754595,0.9391679791747889,0.6384764298396957,0.6831432250474666
