seed,selection_family,candidate_family,candidate,predictive_variance,selection_nll,candidate_h,candidate_q,candidate_r,selected
39122,fixed,ema,0.02,1.844875117074034,1.569043424665354,,,,False
39122,fixed,ema,0.05,0.9037343468046238,1.2549934124927111,,,,False
39122,fixed,ema,0.1,0.53651247024095,1.0286603847099371,,,,False
39122,fixed,ema,0.2,0.3315686368976461,0.8206116263500481,,,,False
39122,fixed,ema,0.4,0.230126184999794,0.6578262054355467,,,,False
39122,fixed,ema,0.7,0.20239860521188802,0.6080620857051133,,,,False
39122,fixed,window,2,0.2182081656324645,0.631656773408351,,,,False
39122,fixed,window,4,0.26377303020723597,0.7204523998516666,,,,False
39122,fixed,window,8,0.3705462179606181,0.8906279765913853,,,,False
39122,fixed,window,16,0.6044046378169148,1.0995561451978257,,,,False
39122,fixed,window,32,1.0153916333967863,1.3214903298531693,,,,False
39122,fixed,window,64,1.706417333307683,1.5509913473607917,,,,False
39122,fixed,fixed_jump,0.0025:0.0025:0.01,,0.8399129499586259,0.0025,0.0025,0.01,False
39122,fixed,fixed_jump,0.0025:0.0025:0.04,,0.336924457394365,0.0025,0.0025,0.04,False
39122,fixed,fixed_jump,0.0025:0.0025:0.16,,0.4486932266064649,0.0025,0.0025,0.16,False
39122,fixed,fixed_jump,0.0025:0.01:0.01,,0.6205353414052034,0.0025,0.01,0.01,False
39122,fixed,fixed_jump,0.0025:0.01:0.04,,0.27512564880163976,0.0025,0.01,0.04,False
39122,fixed,fixed_jump,0.0025:0.01:0.16,,0.4338129838372244,0.0025,0.01,0.16,False
39122,fixed,fixed_jump,0.0025:0.04:0.01,,0.4042231601597181,0.0025,0.04,0.01,False
39122,fixed,fixed_jump,0.0025:0.04:0.04,,0.3030696873125629,0.0025,0.04,0.04,False
39122,fixed,fixed_jump,0.0025:0.04:0.16,,0.4919715883902273,0.0025,0.04,0.16,False
39122,fixed,fixed_jump,0.01:0.0025:0.01,,0.6930100972521992,0.01,0.0025,0.01,False
39122,fixed,fixed_jump,0.01:0.0025:0.04,,0.30572753964412375,0.01,0.0025,0.04,False
39122,fixed,fixed_jump,0.01:0.0025:0.16,,0.42937339676681896,0.01,0.0025,0.16,False
39122,fixed,fixed_jump,0.01:0.01:0.01,,0.5256937948871753,0.01,0.01,0.01,False
39122,fixed,fixed_jump,0.01:0.01:0.04,,0.2580522670818324,0.01,0.01,0.04,False
39122,fixed,fixed_jump,0.01:0.01:0.16,,0.4246893602839195,0.01,0.01,0.16,False
39122,fixed,fixed_jump,0.01:0.04:0.01,,0.3681494505210218,0.01,0.04,0.01,False
39122,fixed,fixed_jump,0.01:0.04:0.04,,0.29243829573661867,0.01,0.04,0.04,False
39122,fixed,fixed_jump,0.01:0.04:0.16,,0.4855446489028404,0.01,0.04,0.16,False
39122,fixed,fixed_jump,0.03:0.0025:0.01,,0.5748275867972418,0.03,0.0025,0.01,False
39122,fixed,fixed_jump,0.03:0.0025:0.04,,0.2818124222935432,0.03,0.0025,0.04,False
39122,fixed,fixed_jump,0.03:0.0025:0.16,,0.4243000786368271,0.03,0.0025,0.16,False
39122,fixed,fixed_jump,0.03:0.01:0.01,,0.44634275439974336,0.03,0.01,0.01,False
39122,fixed,fixed_jump,0.03:0.01:0.04,,0.25204761535306996,0.03,0.01,0.04,True
39122,fixed,fixed_jump,0.03:0.01:0.16,,0.4287628355545407,0.03,0.01,0.16,False
39122,fixed,fixed_jump,0.03:0.04:0.01,,0.3403430152477318,0.03,0.04,0.01,False
39122,fixed,fixed_jump,0.03:0.04:0.04,,0.293821045090682,0.03,0.04,0.04,False
39122,fixed,fixed_jump,0.03:0.04:0.16,,0.4917891081824521,0.03,0.04,0.16,False
39122,fixed,fixed_jump,0.06:0.0025:0.01,,0.5088361222145253,0.06,0.0025,0.01,False
39122,fixed,fixed_jump,0.06:0.0025:0.04,,0.27635605947254277,0.06,0.0025,0.04,False
39122,fixed,fixed_jump,0.06:0.0025:0.16,,0.4371043357099196,0.06,0.0025,0.16,False
39122,fixed,fixed_jump,0.06:0.01:0.01,,0.40357434443053203,0.06,0.01,0.01,False
39122,fixed,fixed_jump,0.06:0.01:0.04,,0.26003219866246874,0.06,0.01,0.04,False
39122,fixed,fixed_jump,0.06:0.01:0.16,,0.4467355516077138,0.06,0.01,0.16,False
39122,fixed,fixed_jump,0.06:0.04:0.01,,0.33077884530292,0.06,0.04,0.01,False
39122,fixed,fixed_jump,0.06:0.04:0.04,,0.30769773765465624,0.06,0.04,0.04,False
39122,fixed,fixed_jump,0.06:0.04:0.16,,0.5106537860872769,0.06,0.04,0.16,False
39122,factorized,online_em,0.002:0.08:0.08,,0.1255531785668731,0.002,0.08,0.08,False
39122,factorized,online_em,0.002:0.08:0.2,,0.10755791232752195,0.002,0.08,0.2,False
39122,factorized,online_em,0.002:0.08:0.5,,0.12473502077461025,0.002,0.08,0.5,False
39122,factorized,online_em,0.002:0.2:0.08,,0.10039297299484484,0.002,0.2,0.08,False
39122,factorized,online_em,0.002:0.2:0.2,,0.07363783491631644,0.002,0.2,0.2,False
39122,factorized,online_em,0.002:0.2:0.5,,0.09110194598733073,0.002,0.2,0.5,False
39122,factorized,online_em,0.002:0.5:0.08,,0.09397216850920097,0.002,0.5,0.08,False
39122,factorized,online_em,0.002:0.5:0.2,,0.05548098259508958,0.002,0.5,0.2,True
39122,factorized,online_em,0.002:0.5:0.5,,0.0740305512607119,0.002,0.5,0.5,False
39122,factorized,online_em,0.01:0.08:0.08,,0.1345658759051174,0.01,0.08,0.08,False
39122,factorized,online_em,0.01:0.08:0.2,,0.11386921228251379,0.01,0.08,0.2,False
39122,factorized,online_em,0.01:0.08:0.5,,0.12732830574920354,0.01,0.08,0.5,False
39122,factorized,online_em,0.01:0.2:0.08,,0.10793050115468066,0.01,0.2,0.08,False
39122,factorized,online_em,0.01:0.2:0.2,,0.07650162130783278,0.01,0.2,0.2,False
39122,factorized,online_em,0.01:0.2:0.5,,0.09296717660466296,0.01,0.2,0.5,False
39122,factorized,online_em,0.01:0.5:0.08,,0.09805459153095603,0.01,0.5,0.08,False
39122,factorized,online_em,0.01:0.5:0.2,,0.05730254542800608,0.01,0.5,0.2,False
39122,factorized,online_em,0.01:0.5:0.5,,0.07546023319428859,0.01,0.5,0.5,False
39122,factorized,online_em,0.05:0.08:0.08,,0.1401935909931471,0.05,0.08,0.08,False
39122,factorized,online_em,0.05:0.08:0.2,,0.12060151848934304,0.05,0.08,0.2,False
39122,factorized,online_em,0.05:0.08:0.5,,0.13341137608702622,0.05,0.08,0.5,False
39122,factorized,online_em,0.05:0.2:0.08,,0.11837211811395126,0.05,0.2,0.08,False
39122,factorized,online_em,0.05:0.2:0.2,,0.08132618147502033,0.05,0.2,0.2,False
39122,factorized,online_em,0.05:0.2:0.5,,0.0932681307834871,0.05,0.2,0.5,False
39122,factorized,online_em,0.05:0.5:0.08,,0.11155491109717919,0.05,0.5,0.08,False
39122,factorized,online_em,0.05:0.5:0.2,,0.0640887431613442,0.05,0.5,0.2,False
39122,factorized,online_em,0.05:0.5:0.5,,0.07933933355629945,0.05,0.5,0.5,False
39122,seen_imm,seen_imm,0.00390625,,-0.022695794488197713,,,,False
39122,seen_imm,seen_imm,0.0078125,,-0.0263823680749052,,,,False
39122,seen_imm,seen_imm,0.015625,,-0.02777790286195059,,,,True
39122,seen_imm,seen_imm,0.03125,,-0.02484281212140298,,,,False
39122,oracle_imm,oracle_imm,0.00390625,,-0.01612445500080454,,,,False
39122,oracle_imm,oracle_imm,0.0078125,,-0.019316280654897423,,,,False
39122,oracle_imm,oracle_imm,0.015625,,-0.01980461499173531,,,,True
39122,oracle_imm,oracle_imm,0.03125,,-0.015010789412717718,,,,False
