seed,method,block_id,sequence_id,previous_cell,cell,window,n_samples,nll,latent_mse
43000,learned_event_learned_qr,1,0,011,101,1,1,0.4064438805681038,0.20862379669765227
43000,learned_event_learned_qr,1,0,011,101,4,4,0.8342414615368337,0.1275928515221963
43000,learned_event_learned_qr,1,0,011,101,8,8,0.6366228292311069,0.08802184133634348
43000,learned_event_learned_qr,1,0,011,101,16,16,0.5928207907141092,0.08619726595009075
43000,learned_event_learned_qr,2,0,101,110,1,1,0.11840486119178674,0.030243640937534826
43000,learned_event_learned_qr,2,0,101,110,4,4,-0.12189843291979172,0.010249103164191418
43000,learned_event_learned_qr,2,0,101,110,8,8,-0.07277873140219572,0.017759704432575362
43000,learned_event_learned_qr,2,0,101,110,16,16,0.1972729798008081,0.013486971007995334
43000,learned_event_learned_qr,3,0,110,101,1,1,1.6933712639890437,0.12257040894669192
43000,learned_event_learned_qr,3,0,110,101,4,4,1.3191466089169548,0.11530753802200144
43000,learned_event_learned_qr,3,0,110,101,8,8,1.0137422524482673,0.1030073479508656
43000,learned_event_learned_qr,3,0,110,101,16,16,0.688235902114253,0.06336919680981005
43000,learned_event_learned_qr,4,0,101,101,1,1,0.29763678400578314,0.027668615532293345
43000,learned_event_learned_qr,4,0,101,101,4,4,0.6552864311669125,0.10506466603429021
43000,learned_event_learned_qr,4,0,101,101,8,8,0.7488803326608876,0.07659084280313312
43000,learned_event_learned_qr,4,0,101,101,16,16,0.7027774555683852,0.06774483000842485
43000,learned_event_learned_qr,5,0,101,111,1,1,0.5328835677962199,0.018721672083618295
43000,learned_event_learned_qr,5,0,101,111,4,4,0.5877138425293852,0.023364014126258777
43000,learned_event_learned_qr,5,0,101,111,8,8,0.7282234127626168,0.03516880997570417
43000,learned_event_learned_qr,5,0,101,111,16,16,0.8973134803023177,0.059816444967675825
43000,learned_event_learned_qr,6,0,111,111,1,1,0.40569891245339357,0.00484530594905522
43000,learned_event_learned_qr,6,0,111,111,4,4,0.6551949630429789,0.07801796969101553
43000,learned_event_learned_qr,6,0,111,111,8,8,1.2064520952162603,0.09586953983412236
43000,learned_event_learned_qr,6,0,111,111,16,16,1.160220990895663,0.09737759437346752
43000,learned_event_learned_qr,7,0,111,110,1,1,1.0049288142573383,0.002348526055459369
43000,learned_event_learned_qr,7,0,111,110,4,4,0.568280858303806,0.007964268664552363
43000,learned_event_learned_qr,7,0,111,110,8,8,1.2653417904017483,0.00510772861744758
43000,learned_event_learned_qr,7,0,111,110,16,16,0.64890323330499,0.005418534816583763
