seed,method,event_index,sequence_id,cell,window,n_samples,nll,latent_mse
43000,learned_event_learned_qr,9,0,011,1,1,1.0226385728716476,1.3079815288123389e-05
43000,learned_event_learned_qr,9,0,011,4,4,0.36792673353037614,0.016385991160931042
43000,learned_event_learned_qr,9,0,011,8,8,0.9672147460225002,0.07885462981787664
43000,learned_event_learned_qr,9,0,011,16,16,0.9950619434944659,0.05652800633062322
43000,learned_event_learned_qr,115,0,101,1,1,4.87545900426122,0.5518020731230134
43000,learned_event_learned_qr,115,0,101,4,4,1.6022153191744446,0.3377648637861757
43000,learned_event_learned_qr,115,0,101,8,7,1.2449557822492225,0.2067715170005829
43000,learned_event_learned_qr,115,0,101,16,7,1.2449557822492225,0.2067715170005829
43000,learned_event_learned_qr,123,0,101,1,1,3.4664153934228996,0.11918012636454996
43000,learned_event_learned_qr,123,0,101,4,4,1.5745716809246348,0.04180255182649118
43000,learned_event_learned_qr,123,0,101,8,5,1.3971019841016095,0.03394706385012432
43000,learned_event_learned_qr,123,0,101,16,5,1.3971019841016095,0.03394706385012432
43000,learned_event_learned_qr,129,0,101,1,1,1.318384800632131,0.046463395777563074
43000,learned_event_learned_qr,129,0,101,4,4,1.0507103659737616,0.10938719544100012
43000,learned_event_learned_qr,129,0,101,8,8,0.9214465907018926,0.0944399767555908
43000,learned_event_learned_qr,129,0,101,16,15,1.0024618870164739,0.07362727953250411
43000,learned_event_learned_qr,146,0,101,1,1,0.8933117835004624,0.371791498332702
43000,learned_event_learned_qr,146,0,101,4,4,1.0590448757682864,0.12746124448403626
43000,learned_event_learned_qr,146,0,101,8,8,0.8378458366333625,0.0931981541803048
43000,learned_event_learned_qr,146,0,101,16,16,0.8110767451632377,0.0684815501670984
43000,learned_event_learned_qr,166,0,101,1,1,2.312828728877114,0.06126839851443208
43000,learned_event_learned_qr,166,0,101,4,4,1.2000390639248357,0.08063900616764723
43000,learned_event_learned_qr,166,0,101,8,4,1.2000390639248357,0.08063900616764723
43000,learned_event_learned_qr,166,0,101,16,4,1.2000390639248357,0.08063900616764723
43000,learned_event_learned_qr,171,0,101,1,1,2.36764705625725,0.009533874077400856
43000,learned_event_learned_qr,171,0,101,4,4,1.1614254381051792,0.017551329348569136
43000,learned_event_learned_qr,171,0,101,8,8,0.9176694841027809,0.02170009528845223
43000,learned_event_learned_qr,171,0,101,16,10,0.8271139476061947,0.02392457764220706
43000,learned_event_learned_qr,182,0,101,1,1,1.3468249017106055,0.047054905337371854
43000,learned_event_learned_qr,182,0,101,4,4,0.6576016180191059,0.054754508009200065
43000,learned_event_learned_qr,182,0,101,8,8,0.9275235854655439,0.07084698739457107
43000,learned_event_learned_qr,182,0,101,16,11,0.8374333876727728,0.06817891553857995
43000,learned_event_learned_qr,195,0,101,1,1,0.5023594619587104,0.002329145960391078
43000,learned_event_learned_qr,195,0,101,4,4,0.5457399493812916,0.06951483950369447
43000,learned_event_learned_qr,195,0,101,8,8,0.5491868983914102,0.054798345293079254
43000,learned_event_learned_qr,195,0,101,16,11,0.5688109367944371,0.05864014648129117
43000,learned_event_learned_qr,207,0,101,1,1,1.506526312606787,0.1958976749247142
43000,learned_event_learned_qr,207,0,101,4,4,0.9372276953369701,0.05422515307544605
43000,learned_event_learned_qr,207,0,101,8,5,0.8219534570924205,0.043611587033092425
43000,learned_event_learned_qr,207,0,101,16,5,0.8219534570924205,0.043611587033092425
43000,learned_event_learned_qr,213,0,101,1,1,2.1705633399028277,0.19487519674233006
43000,learned_event_learned_qr,213,0,101,4,4,0.9931732100264439,0.10937969323404939
43000,learned_event_learned_qr,213,0,101,8,7,0.7564503297813936,0.07955210482551199
43000,learned_event_learned_qr,213,0,101,16,7,0.7564503297813936,0.07955210482551199
43000,learned_event_learned_qr,221,0,101,1,1,0.5641430933547416,0.019078199155338614
43000,learned_event_learned_qr,221,0,101,4,4,0.1545288692741015,0.021156230996079623
43000,learned_event_learned_qr,221,0,101,8,8,0.04137399506756001,0.01630235089144415
43000,learned_event_learned_qr,221,0,101,16,16,0.16126407690347122,0.014962030450355629
43000,learned_event_learned_qr,244,0,110,1,1,-0.23947366103101095,0.005247953942148888
43000,learned_event_learned_qr,244,0,110,4,1,-0.23947366103101095,0.005247953942148888
43000,learned_event_learned_qr,244,0,110,8,1,-0.23947366103101095,0.005247953942148888
43000,learned_event_learned_qr,244,0,110,16,1,-0.23947366103101095,0.005247953942148888
43000,learned_event_learned_qr,246,0,110,1,1,-0.013091971243085362,0.0022038922854798544
43000,learned_event_learned_qr,246,0,110,4,4,0.05118967806566285,0.00852091655657367
43000,learned_event_learned_qr,246,0,110,8,8,0.17646775558598995,0.010336699918935505
43000,learned_event_learned_qr,246,0,110,16,16,-0.0008609659986559513,0.008990770190585468
43000,learned_event_learned_qr,273,0,110,1,1,0.1075218984971875,0.0008064557234299426
43000,learned_event_learned_qr,273,0,110,4,4,-0.08391932416117788,0.003209461404112209
43000,learned_event_learned_qr,273,0,110,8,6,0.007396614819892142,0.007824539461071738
43000,learned_event_learned_qr,273,0,110,16,6,0.007396614819892142,0.007824539461071738
43000,learned_event_learned_qr,280,0,110,1,1,0.5647811578954826,0.014240796565712912
43000,learned_event_learned_qr,280,0,110,4,4,-0.04271651137233505,0.004704805688525253
43000,learned_event_learned_qr,280,0,110,8,6,-0.09972148598354995,0.0042378459301049476
43000,learned_event_learned_qr,280,0,110,16,6,-0.09972148598354995,0.0042378459301049476
43000,learned_event_learned_qr,287,0,110,1,1,1.6933712639890437,0.12257040894669192
43000,learned_event_learned_qr,287,0,110,4,4,1.3191466089169548,0.11530753802200144
43000,learned_event_learned_qr,287,0,110,8,4,1.3191466089169548,0.11530753802200144
43000,learned_event_learned_qr,287,0,110,16,4,1.3191466089169548,0.11530753802200144
43000,learned_event_learned_qr,292,0,101,1,1,1.3366283173396463,0.002079062313137136
